frame_index,radial_bin,radius_pixels,ground_truth_radial_profile,reconstruction_radial_profile,pixel_count
6,6,1.57421875,0.005813953488372093,0.0303921568627451,8
6,7,1.81640625,,,0
6,8,2.05859375,0.029069767441860465,0.10196078431372549,4
6,9,2.30078125,,,0
6,10,2.54296875,0.13468992248062014,0.2735294117647059,8
6,11,2.78515625,,,0
6,12,3.02734375,0.2567829457364341,0.3588235294117647,8
6,13,3.26953125,,,0
6,14,3.51171875,0.4050387596899225,0.47614379084967323,12
6,15,3.75390625,0.4263565891472868,0.5142156862745099,8
6,16,3.99609375,,,0
6,17,4.23828125,0.42344961240310075,0.5392156862745098,8
6,18,4.48046875,0.46705426356589147,0.625,8
6,19,4.72265625,0.42829457364341084,0.6132352941176471,8
6,20,4.96484375,0.3624031007751938,0.5490196078431372,4
6,21,5.20703125,0.3934108527131783,0.5696078431372549,8
6,22,5.44921875,0.37112403100775193,0.575,8
6,23,5.69140625,0.3192829457364341,0.4963235294117647,16
6,24,5.93359375,0.2955426356589147,0.4245098039215687,8
6,25,6.17578125,,,0
6,26,6.41796875,0.22015503875968992,0.3288235294117647,20
6,27,6.66015625,0.15406976744186046,0.3137254901960784,8
6,28,6.90234375,0.16085271317829458,0.23872549019607842,8
6,29,7.14453125,0.20445736434108525,0.20147058823529412,8
6,30,7.38671875,0.15891472868217055,0.18186274509803924,8
6,31,7.62890625,0.12306201550387598,0.21200980392156865,16
6,32,7.87109375,0.12674418604651164,0.14470588235294118,20
6,33,8.11328125,,,0
6,34,8.35546875,0.10368217054263566,0.12156862745098039,8
6,35,8.59765625,0.09948320413436691,0.1287581699346405,24
6,36,8.83984375,0.08866279069767444,0.10637254901960784,16
6,37,9.08203125,0.06912144702842375,0.09313725490196077,12
6,38,9.32421875,0.06976744186046512,0.09313725490196079,8
6,39,9.56640625,0.0642764857881137,0.09477124183006536,24
6,40,9.80859375,0.05184108527131783,0.08357843137254903,16
6,41,10.05078125,0.04263565891472869,0.07647058823529412,16
6,42,10.29296875,,,0
6,43,10.53515625,0.03931339977851606,0.06022408963585435,28
6,44,10.77734375,0.03391472868217054,0.0517156862745098,16
6,45,11.01953125,0.030523255813953487,0.04632352941176471,16
6,46,11.26171875,0.023255813953488372,0.040686274509803916,8
6,47,11.50390625,0.021802325581395346,0.03137254901960784,32
6,48,11.74609375,0.020348837209302324,0.021568627450980392,16
6,49,11.98828125,0.020155038759689926,0.023137254901960787,20
6,50,12.23046875,0.016957364341085274,0.022303921568627448,16
6,51,12.47265625,0.01065891472868217,0.017156862745098037,16
6,52,12.71484375,0.01453488372093023,0.018627450980392157,24
6,53,12.95703125,0.013081395348837208,0.016421568627450978,16
6,54,13.19921875,0.01065891472868217,0.014950980392156862,16
6,55,13.44140625,0.009689922480620155,0.012549019607843135,20
6,56,13.68359375,0.007994186046511628,0.010416666666666668,32
6,57,13.92578125,0.005813953488372093,0.008333333333333333,8
6,58,14.16796875,0.005813953488372093,0.012091503267973855,24
6,59,14.41015625,0.005329457364341085,0.006617647058823529,16
6,60,14.65234375,0.00436046511627907,0.006127450980392157,32
6,61,14.89453125,0.004152823920265781,0.00588235294117647,28
6,62,15.13671875,0.003391472868217054,0.005637254901960784,16
6,63,15.37890625,0.001937984496124031,0.006372549019607843,8
7,0,0.12109375,,,0
7,1,0.36328125,,,0
7,2,0.60546875,0.0033783783783783786,0.0196078431372549,4
7,3,0.84765625,,,0
7,4,1.08984375,,,0
7,5,1.33203125,,,0
7,6,1.57421875,0.006756756756756757,0.035784313725490194,8
7,7,1.81640625,,,0
7,8,2.05859375,0.043918918918918914,0.11470588235294119,4
7,9,2.30078125,,,0
7,10,2.54296875,0.14949324324324323,0.30588235294117644,8
7,11,2.78515625,,,0
7,12,3.02734375,0.3133445945945946,0.37450980392156863,8
7,13,3.26953125,,,0
7,14,3.51171875,0.4268018018018018,0.4516339869281046,12
7,15,3.75390625,0.4484797297297297,0.46911764705882353,8
7,16,3.99609375,,,0
7,17,4.23828125,0.370777027027027,0.47401960784313724,8
7,18,4.48046875,0.4239864864864865,0.5495098039215687,8
7,19,4.72265625,0.3910472972972973,0.5357843137254902,8
7,20,4.96484375,0.32263513513513514,0.47352941176470587,4
7,21,5.20703125,0.32179054054054057,0.49509803921568624,8
7,22,5.44921875,0.3716216216216216,0.5019607843137255,8
7,23,5.69140625,0.2766047297297297,0.43161764705882355,16
7,24,5.93359375,0.24239864864864868,0.3720588235294118,8
7,25,6.17578125,,,0
7,26,6.41796875,0.185472972972973,0.28627450980392155,20
7,27,6.66015625,0.17820945945945946,0.2720588235294118,8
7,28,6.90234375,0.16891891891891891,0.20833333333333334,8
7,29,7.14453125,0.16722972972972971,0.18480392156862746,8
7,30,7.38671875,0.1528716216216216,0.16127450980392158,8
7,31,7.62890625,0.10726351351351351,0.1779411764705882,16
7,32,7.87109375,0.12094594594594592,0.12862745098039216,20
7,33,8.11328125,,,0
7,34,8.35546875,0.10726351351351351,0.10147058823529412,8
7,35,8.59765625,0.0855855855855856,0.10800653594771241,24
7,36,8.83984375,0.07685810810810811,0.08725490196078431,16
7,37,9.08203125,0.06081081081081082,0.07712418300653597,12
7,38,9.32421875,0.05574324324324324,0.07941176470588235,8
7,39,9.56640625,0.057713963963963964,0.07581699346405228,24
7,40,9.80859375,0.04349662162162163,0.0659313725490196,16
7,41,10.05078125,0.03800675675675676,0.05931372549019608,16
7,42,10.29296875,,,0
7,43,10.53515625,0.03450772200772201,0.04789915966386555,28
7,44,10.77734375,0.028716216216216218,0.041176470588235294,16
7,45,11.01953125,0.025760135135135136,0.0375,16
7,46,11.26171875,0.01942567567567568,0.0303921568627451,8
7,47,11.50390625,0.01879222972972973,0.026838235294117645,32
7,48,11.74609375,0.016469594594594596,0.020098039215686276,16
7,49,11.98828125,0.015202702702702704,0.01941176470588235,20
7,50,12.23046875,0.014780405405405407,0.020343137254901958,16
7,51,12.47265625,0.008445945945945946,0.016421568627450978,16
7,52,12.71484375,0.011542792792792793,0.016339869281045753,24
7,53,12.95703125,0.010135135135135136,0.014950980392156862,16
7,54,13.19921875,0.00971283783783784,0.014705882352941176,16
7,55,13.44140625,0.008783783783783783,0.010980392156862744,20
7,56,13.68359375,0.0073902027027027035,0.009926470588235294,32
7,57,13.92578125,0.007601351351351352,0.008823529411764706,8
7,58,14.16796875,0.0053490990990991,0.011111111111111112,24
7,59,14.41015625,0.005489864864864865,0.007352941176470588,16
7,60,14.65234375,0.004222972972972973,0.006985294117647058,32
7,61,14.89453125,0.002895752895752896,0.006442577030812324,28
7,62,15.13671875,0.002533783783783784,0.006372549019607843,16
7,63,15.37890625,0.0008445945945945946,0.00784313725490196,8
8,0,0.12109375,,,0
8,1,0.36328125,,,0
8,2,0.60546875,0.005639097744360902,0.00784313725490196,4
8,3,0.84765625,,,0
8,4,1.08984375,,,0
8,5,1.33203125,,,0
8,6,1.57421875,0.006578947368421052,0.020588235294117647,8
8,7,1.81640625,,,0
8,8,2.05859375,0.018796992481203006,0.08235294117647059,4
8,9,2.30078125,,,0
8,10,2.54296875,0.13909774436090225,0.26323529411764707,8
8,11,2.78515625,,,0
8,12,3.02734375,0.287593984962406,0.3303921568627451,8
