label,i,j,relative_distance,stage,prior_weight
delta,7,9,0.0019186629196526433,01_spatial_tv_prior_init,0.05
delta,7,10,0.002876120305001575,01_spatial_tv_prior_init,0.05
delta,7,11,0.003859090020490271,01_spatial_tv_prior_init,0.05
delta,7,12,0.004755494315853909,01_spatial_tv_prior_init,0.05
delta,7,13,0.005679681238697042,01_spatial_tv_prior_init,0.05
delta,7,14,0.0065987409529867135,01_spatial_tv_prior_init,0.05
delta,8,9,0.0009640121125071683,01_spatial_tv_prior_init,0.05
delta,8,10,0.0019303171460978848,01_spatial_tv_prior_init,0.05
delta,8,11,0.002922695949132427,01_spatial_tv_prior_init,0.05
delta,8,12,0.0038280777998372126,01_spatial_tv_prior_init,0.05
delta,8,13,0.004762012658601392,01_spatial_tv_prior_init,0.05
delta,8,14,0.005691088920658814,01_spatial_tv_prior_init,0.05
delta,9,10,0.0009738189448202178,01_spatial_tv_prior_init,0.05
delta,9,11,0.001974978634005176,01_spatial_tv_prior_init,0.05
delta,9,12,0.0028890593445306473,01_spatial_tv_prior_init,0.05
delta,9,13,0.003832524091495596,01_spatial_tv_prior_init,0.05
delta,9,14,0.004771408767721428,01_spatial_tv_prior_init,0.05
delta,10,11,0.0010107265792225649,01_spatial_tv_prior_init,0.05
delta,10,12,0.0019338736901997544,01_spatial_tv_prior_init,0.05
delta,10,13,0.002886863803953613,01_spatial_tv_prior_init,0.05
delta,10,14,0.0038354659463612634,01_spatial_tv_prior_init,0.05
delta,11,12,0.0009320246805823594,01_spatial_tv_prior_init,0.05
delta,11,13,0.0018942178048885186,01_spatial_tv_prior_init,0.05
delta,11,14,0.0028523384139685767,01_spatial_tv_prior_init,0.05
delta,12,13,0.0009702741908224215,01_spatial_tv_prior_init,0.05
delta,12,14,0.0019370307179209672,01_spatial_tv_prior_init,0.05
delta,13,14,0.000975791411268459,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,1,0.3453288535697859,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,2,0.5049022349428788,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,3,0.6061886219199636,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,4,0.6761152084970872,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,5,0.7215987370142765,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,6,0.7571051412050174,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,7,0.7846844515427757,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,8,0.8066446164930859,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,9,0.8247474239220575,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,10,0.840274984246103,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,11,0.8523339604155057,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,12,0.863104208134125,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,13,0.8724621667959009,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,14,0.10121723458802931,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,15,0.355380278743592,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,16,0.5178526851662363,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,17,0.6197633598524737,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,18,0.6817339304159538,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,19,0.7279429720294377,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,20,0.7625840476124679,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,21,0.7894024915287299,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,22,0.8110357502137335,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,23,0.8292549608035554,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,24,0.8431884236068198,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,25,0.8554829996109159,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,26,0.8660494773475191,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,27,0.1493495068360186,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,28,0.3691679298927669,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,29,0.5331171159581102,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,30,0.6240637797069701,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,31,0.6876582942713325,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,32,0.7330877805903998,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,33,0.7669941530282844,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,34,0.7935913740481595,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,35,0.8154836102583645,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,36,0.8319137120376815,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,37,0.8461980292981708,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,38,0.8583154823962025,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,39,0.19156121663892572,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,40,0.407072361963763,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,41,0.545858713458553,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,42,0.6361094389028101,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,43,0.6969311317551047,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,44,0.7403941764228255,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,45,0.7734014781918989,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,46,0.7998709363771094,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,47,0.819325693140417,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,48,0.8359681505364399,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,49,0.8498880056351905,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,50,0.238058575452762,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,51,0.419203552325274,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,52,0.5576636592035308,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,53,0.6448319713075995,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,54,0.7035993279025495,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,55,0.7463498809540698,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,56,0.7794818095621626,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,57,0.8031931093245529,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,58,0.823069658519636,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,59,0.8394037811859156,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,60,0.2607125765825995,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,61,0.4258111434487376,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,62,0.5624804563046398,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,63,0.648648142907578,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,64,0.7076939061064608,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,65,0.7513455446951385,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,66,0.7814853149133947,01_spatial_tv_prior_init,0.05
pairwise_delta_difference,0,67,0.8060766067244479,01_spatial_tv_prior_init,0.05
