cg_iter,relative_residual,delta_weight,frame_index,obs_name
24,4.893583738153285e-06,0.001,2,frame_14.npz
25,2.1325670545216622e-05,0.001,2,frame_14.npz
26,4.979390636082039e-06,0.001,2,frame_14.npz
27,5.13382713388233e-06,0.001,2,frame_14.npz
28,1.8349941340629935e-06,0.001,2,frame_14.npz
29,1.17710617289735e-06,0.001,2,frame_14.npz
30,6.02940782083832e-08,0.001,2,frame_14.npz
1,0.09453019300609158,0.01,0,frame_00.npz
2,0.03949628340556814,0.01,0,frame_00.npz
3,0.013849814290042369,0.01,0,frame_00.npz
4,0.01120958280079613,0.01,0,frame_00.npz
5,0.006229570895686534,0.01,0,frame_00.npz
6,0.004871661080283854,0.01,0,frame_00.npz
7,0.002310920642852212,0.01,0,frame_00.npz
8,0.00363995027458133,0.01,0,frame_00.npz
9,0.0008203894710503331,0.01,0,frame_00.npz
10,0.0005324257311414356,0.01,0,frame_00.npz
11,0.00010450447161582507,0.01,0,frame_00.npz
12,7.324863617106742e-05,0.01,0,frame_00.npz
13,4.977178935082159e-05,0.01,0,frame_00.npz
14,2.4507570443311563e-05,0.01,0,frame_00.npz
15,5.889744722840535e-06,0.01,0,frame_00.npz
16,1.6813212191901287e-06,0.01,0,frame_00.npz
17,8.543899006316081e-07,0.01,0,frame_00.npz
18,1.113933724325257e-06,0.01,0,frame_00.npz
19,7.839497203958193e-07,0.01,0,frame_00.npz
20,2.395463346724623e-07,0.01,0,frame_00.npz
21,1.2656071103550807e-07,0.01,0,frame_00.npz
22,4.347410126100348e-08,0.01,0,frame_00.npz
1,0.09323586728350129,0.01,1,frame_07.npz
2,0.03842693261267164,0.01,1,frame_07.npz
3,0.013977111731755176,0.01,1,frame_07.npz
4,0.012446563018998635,0.01,1,frame_07.npz
5,0.00606345407438599,0.01,1,frame_07.npz
6,0.0044810461739727666,0.01,1,frame_07.npz
7,0.0024878426569442374,0.01,1,frame_07.npz
8,0.0034520969612725485,0.01,1,frame_07.npz
9,0.0008822636216768315,0.01,1,frame_07.npz
10,0.00041792022637051815,0.01,1,frame_07.npz
11,0.00019596171814842194,0.01,1,frame_07.npz
12,4.254254557833318e-05,0.01,1,frame_07.npz
13,2.1842296393565502e-05,0.01,1,frame_07.npz
14,2.1128965998603972e-05,0.01,1,frame_07.npz
15,8.224838058249396e-06,0.01,1,frame_07.npz
16,5.6959447296395775e-06,0.01,1,frame_07.npz
17,1.4616203452090832e-06,0.01,1,frame_07.npz
18,2.1043222159102455e-06,0.01,1,frame_07.npz
19,6.456969286408266e-07,0.01,1,frame_07.npz
20,4.424970158855133e-07,0.01,1,frame_07.npz
21,1.3667212560254948e-07,0.01,1,frame_07.npz
22,4.148725030419087e-08,0.01,1,frame_07.npz
1,0.09196016954092469,0.01,2,frame_14.npz
2,0.03753042277124145,0.01,2,frame_14.npz
3,0.013783626913638937,0.01,2,frame_14.npz
4,0.014476145490408973,0.01,2,frame_14.npz
5,0.006264495198244181,0.01,2,frame_14.npz
6,0.003907307700114832,0.01,2,frame_14.npz
7,0.0023906180696353654,0.01,2,frame_14.npz
8,0.002713083274656708,0.01,2,frame_14.npz
9,0.0009711632627316184,0.01,2,frame_14.npz
10,0.00032288726336233617,0.01,2,frame_14.npz
11,0.00019774526154961038,0.01,2,frame_14.npz
12,3.9552946141080206e-05,0.01,2,frame_14.npz
13,2.1615811280487592e-05,0.01,2,frame_14.npz
14,1.7033014025325658e-05,0.01,2,frame_14.npz
15,5.440162459155115e-06,0.01,2,frame_14.npz
16,5.342561636476653e-06,0.01,2,frame_14.npz
17,8.163464228128944e-07,0.01,2,frame_14.npz
18,1.5112203193832273e-06,0.01,2,frame_14.npz
19,3.4943058035057234e-07,0.01,2,frame_14.npz
20,1.4270045210186828e-07,0.01,2,frame_14.npz
21,5.944554003740545e-08,0.01,2,frame_14.npz
1,0.08746371433309874,0.05,0,frame_00.npz
2,0.029934672316710546,0.05,0,frame_00.npz
3,0.00757181535654095,0.05,0,frame_00.npz
4,0.005181203926512586,0.05,0,frame_00.npz
5,0.0017315208740646282,0.05,0,frame_00.npz
6,0.0006493878035319486,0.05,0,frame_00.npz
