iter,objective,data,prior,tv,step,relative_u_change,relative_objective_change,frame
54,11.884513217453632,3.751852317556289,8.132660899897344,0.0,4.8434686134299875e-08,5.573072343207721e-10,7.549041083004228e-12,1
55,11.884513217358437,3.751852314452591,8.132660902905846,0.0,5.0856420441014874e-08,5.913358737560346e-10,8.010001022477538e-12,1
56,11.884513217257455,3.751852311160256,8.132660906097199,0.0,5.339924146306562e-08,6.272762193251836e-10,8.496968429360896e-12,1
57,11.884513217150364,3.751852307668708,8.132660909481656,0.0,5.6069203536218905e-08,6.652317477695285e-10,9.01098958107995e-12,1
1,18.75964779801712,3.618257126245661e-05,18.75961161544586,0.0,10.0,0.9992251283664447,0.7887303853255637,2
2,17.928120276100394,13.235980483445513,4.69213979265488,0.0,10.0,102.57586614083374,0.04432532693948411,2
3,14.548773381098181,0.4838587494708235,14.064914631627358,0.0,10.0,0.7526496838841451,0.18849421149338014,2
4,14.446131698174892,9.195668986311293,5.250462711863597,0.0,10.0,1.8211399540876325,0.00705500596061487,2
5,13.675860526704001,0.8357127700221139,12.840147756681887,0.0,10.0,0.632274462594603,0.053320237387019805,2
6,12.654149403603459,2.8002943924355796,9.853855011167878,0.0,5.0,0.49594849480584957,0.07470909206082034,2
7,12.160162623410647,3.1644252382631777,8.99573738514747,0.0,5.25,0.20868174952944168,0.039037533415885076,2
8,11.962437526376801,3.6252245250111574,8.337213001365644,0.0,5.5125,0.15679726577916608,0.016260070128763817,2
9,11.899929756106133,3.7621212758351805,8.137808480270952,0.0,5.788125000000001,0.10002546406405399,0.005225337238571635,2
10,11.888732924746979,3.750296923408345,8.138436001338635,0.0,6.077531250000001,0.05875109313377314,0.0009409157523310295,2
11,11.888732924745796,3.750296923370322,8.138436001375474,0.0,5.94314915360883e-09,7.36955917410235e-12,9.951049136429697e-14,2
12,11.888732924743625,3.750296923300648,8.138436001442978,0.0,6.240306611289272e-09,1.3504048453644086e-11,1.8258531598676127e-13,2
13,11.88873292474059,3.750296923203155,8.138436001537436,0.0,6.552321941853736e-09,1.8896096419498372e-11,2.552010799553561e-13,2
14,11.888732924736761,3.7502969230800884,8.138436001656672,0.0,6.879938038946423e-09,2.3852517924507484e-11,3.221390681404498e-13,2
15,11.888732924732167,3.7502969229326637,8.138436001799503,0.0,7.223934940893745e-09,2.8573497378888552e-11,3.863875835860257e-13,2
16,11.888732924726837,3.7502969227613927,8.138436001965443,0.0,7.585131687938432e-09,3.319548209605725e-11,4.4839487174868957e-13,2
17,11.888732924720758,3.7502969225662848,8.138436002154473,0.0,7.964388272335354e-09,3.7815498694536266e-11,5.112986508246263e-13,2
18,11.888732924713928,3.750296922346978,8.13843600236695,0.0,8.362607685952122e-09,4.2505531317609195e-11,5.745012602050537e-13,2
19,11.888732924706323,3.7502969221028253,8.138436002603498,0.0,8.780738070249728e-09,4.7321299996131585e-11,6.396462665641736e-13,2
20,11.888732924697921,3.7502969218329447,8.138436002864976,0.0,9.219774973762215e-09,5.230780509073467e-11,7.067336699020033e-13,2
21,11.888732924688682,3.7502969215362603,8.138436003152421,0.0,9.680763722450327e-09,5.750291442752158e-11,7.771082065883546e-13,2
22,11.888732924678571,3.7502969212115236,8.138436003467048,0.0,1.0164801908572844e-08,6.293975768583759e-11,8.504710463188525e-13,2
23,11.888732924667538,3.7502969208573345,8.138436003810204,0.0,1.0673042004001487e-08,6.864836319360749e-11,9.280175103111182e-13,2
24,11.888732924655542,3.7502969204721444,8.138436004183399,0.0,1.1206694104201562e-08,7.465678888002467e-11,1.0090005228041858e-12,2
25,11.888732924642532,3.750296920054269,8.138436004588263,0.0,1.176702880941164e-08,8.099194621954394e-11,1.0943165747112859e-12,2
26,11.888732924628444,3.750296919601885,8.13843600502656,0.0,1.2355380249882223e-08,8.768018146996669e-11,1.1850115720978571e-12,2
27,11.888732924613219,3.750296919113036,8.138436005500184,0.0,1.2973149262376334e-08,9.474774608805546e-11,1.280637269507347e-12,2
28,11.888732924596797,3.750296918585629,8.138436006011167,0.0,1.3621806725495151e-08,1.0222112252459202e-10,1.381343082092006e-12,2
29,11.888732924579102,3.7502969180174297,8.138436006561673,0.0,1.430289706176991e-08,1.101273096645234e-10,1.4883243310694948e-12,2
30,11.888732924560063,3.7502969174060627,8.138436007154,0.0,1.5018041914858405e-08,1.1849404452241533e-10,1.6014316012876808e-12,2
31,11.888732924539603,3.750296916749004,8.138436007790599,0.0,1.5768944010601325e-08,1.2734999133983367e-10,1.7209637230510398e-12,2
32,11.888732924517633,3.750296916043575,8.138436008474057,0.0,1.6557391211131392e-08,1.3672490538867498e-10,1.8479666024250645e-12,2
33,11.88873292449407,3.7502969152869383,8.138436009207132,0.0,1.7385260771687964e-08,1.4664978066403183e-10,1.9819919939532484e-12,2
34,11.88873292446882,3.750296914476092,8.138436009992729,0.0,1.8254523810272363e-08,1.5715698020859566e-10,2.1237869733967067e-12,2
35,11.888732924441783,3.7502969136078534,8.13843601083393,0.0,1.9167250000785983e-08,1.6828037525192442e-10,2.274248031668772e-12,2
36,11.888732924412853,3.750296912678861,8.138436011733992,0.0,2.0125612500825283e-08,1.800554501311454e-10,2.433375168769585e-12,2
37,11.88873292438192,3.7502969116855622,8.138436012696358,0.0,2.1131893125866547e-08,1.9251944621494911e-10,2.6019154604603137e-12,2
38,11.888732924348869,3.7502969106241992,8.13843601372467,0.0,2.2188487782159875e-08,2.0571146178398153e-10,2.780018321893336e-12,2
39,11.888732924313576,3.750296909490804,8.138436014822771,0.0,2.3297912171267868e-08,2.1967258215899818e-10,2.968580243982068e-12,2
40,11.888732924275905,3.750296908281186,8.138436015994719,0.0,2.4462807779831262e-08,2.3444600078527654e-10,3.1686471327921583e-12,2
41,11.888732924235724,3.7502969069909184,8.138436017244805,0.0,2.5685948168822827e-08,2.500771477703472e-10,3.379770742867248e-12,2
42,11.888732924192887,3.7502969056153312,8.138436018577556,0.0,2.697024557726397e-08,2.666138205534037e-10,3.6031463954252497e-12,2
43,11.888732924147238,3.750296904149492,8.138436019997746,0.0,2.831875785612717e-08,2.8410630724978904e-10,3.83967058137971e-12,2
44,11.88873292409862,3.7502969025881967,8.138436021510424,0.0,2.973469574893353e-08,3.026075449467846e-10,4.0893433007309816e-12,2
45,11.888732924046854,3.7502969009259517,8.138436023120903,0.0,3.122143053638021e-08,3.221732540318986e-10,4.354256365610348e-12,2
46,11.888732923991768,3.7502968991569627,8.138436024834805,0.0,3.278250206319922e-08,3.428620929107245e-10,4.6335132851050185e-12,2
47,11.888732923933166,3.7502968972751183,8.138436026658047,0.0,3.442162716635918e-08,3.6473581550755274e-10,4.929205871346388e-12,2
48,11.888732923870847,3.7502968952739666,8.13843602859688,0.0,3.614270852467714e-08,3.8785944442773474e-10,5.241782369791645e-12,2
49,11.888732923804604,3.7502968931467087,8.138436030657894,0.0,3.7949843950911e-08,4.123014347401974e-10,5.5719898562024594e-12,2
50,11.888732923734207,3.750296890886168,8.13843603284804,0.0,3.9847336148456554e-08,4.381338674330267e-10,5.9213224821016265e-12,2
51,11.888732923659425,3.7502968884847805,8.138436035174644,0.0,4.183970295587938e-08,4.6543264197361824e-10,6.2900790777943555e-12,2
52,11.88873292358001,3.7502968859345676,8.138436037645443,0.0,4.393168810367335e-08,4.94277668382709e-10,6.679903209955844e-12,2
53,11.888732923495695,3.7502968832271177,8.138436040268578,0.0,4.6128272508857024e-08,5.247530853265706e-10,7.091990199804775e-12,2
54,11.888732923406211,3.7502968803535617,8.13843604305265,0.0,4.8434686134299875e-08,5.569474898211316e-10,7.526788292798888e-12,2
55,11.888732923311263,3.7502968773045486,8.138436046006714,0.0,5.0856420441014874e-08,5.909541593106462e-10,7.986389301070402e-12,2
56,11.888732923210542,3.750296874070223,8.138436049140319,0.0,5.339924146306562e-08,6.268713057036834e-10,8.471988545838419e-12,2
57,11.888732923103728,3.7502968706401925,8.138436052463536,0.0,5.6069203536218905e-08,6.648023299574604e-10,8.984482518017776e-12,2
1,18.746637508807343,7.018699827016957e-05,18.746567321809074,0.0,10.0,0.9989181228001114,0.7889994040854881,3
2,17.903833721975154,13.209446998765376,4.694386723209779,0.0,10.0,78.49950671284685,0.04495759767244589,3
3,14.545364591255453,0.4854321894385232,14.05993240181693,0.0,10.0,0.7521807020992306,0.1875837981335434,3
4,14.445401307509131,9.19160747957612,5.253793827933011,0.0,10.0,1.816636052322721,0.006872518259625582,3
5,13.678998367855904,0.8352782954759288,12.843720072379975,0.0,10.0,0.6322703702195068,0.053055150448106714,3
6,12.656747832237366,2.801755512673338,9.854992319564028,0.0,5.0,0.49644623120689124,0.07473138808325584,3
7,12.163432895579112,3.1638977500285104,8.9995351455506,0.0,5.25,0.20855848675907482,0.03897643716988009,3
8,11.96634654794035,3.6253089847793847,8.341037563160967,0.0,5.5125,0.15661466765898438,0.016203184522880647,3
9,11.903980282376065,3.7616973763717754,8.142282906004288,0.0,5.788125000000001,0.09995714319387367,0.0052118050663521286,3
10,11.892790058745419,3.7493081861968074,8.14348187254861,0.0,6.077531250000001,0.058864480227609324,0.0009400405045371139,3
11,11.892790058744225,3.7493081861592747,8.14348187258495,0.0,5.94314915360883e-09,7.406201893989995e-12,1.0037272920655539e-13,3
12,11.892790058742037,3.7493081860904995,8.143481872651538,0.0,6.240306611289272e-09,1.357119361088034e-11,1.8401667021203669e-13,3
13,11.89279005873897,3.749308185994262,8.14348187274471,0.0,6.552321941853736e-09,1.8990052056525266e-11,2.578025753133391e-13,3
14,11.892790058735107,3.7493081858727826,8.143481872862324,0.0,6.879938038946423e-09,2.3971117291395562e-11,3.2486709229817907e-13,3
15,11.892790058730474,3.7493081857272585,8.143481873003216,0.0,7.223934940893745e-09,2.87155707263156e-11,3.895417823972075e-13,3
16,11.892790058725092,3.7493081855581956,8.143481873166897,0.0,7.585131687938432e-09,3.336053738843054e-11,4.5257346651226934e-13,3
17,11.892790058718965,3.7493081853656025,8.143481873353362,0.0,7.964388272335354e-09,3.800352215496737e-11,5.151570580863114e-13,3
18,11.892790058712075,3.7493081851491237,8.143481873562951,0.0,8.362607685952122e-09,4.271687099290761e-11,5.793836556444857e-13,3
19,11.892790058704403,3.7493081849081173,8.143481873796286,0.0,8.780738070249728e-09,4.755658461544581e-11,6.451038950064408e-13,3
20,11.892790058695924,3.7493081846417162,8.143481874054208,0.0,9.219774973762215e-09,5.256788253606897e-11,7.129152328936624e-13,3
21,11.892790058686604,3.7493081843488567,8.143481874337747,0.0,9.680763722450327e-09,5.778882075355756e-11,7.837138543883749e-13,3
22,11.8927900586764,3.7493081840283073,8.143481874648094,0.0,1.0164801908572844e-08,6.325269964575346e-11,8.579478520317045e-13,3
23,11.892790058665273,3.749308183678683,8.14348187498659,0.0,1.0673042004001487e-08,6.898969007191345e-11,9.356172258236782e-13,3
24,11.892790058653173,3.749308183298459,8.143481875354713,0.0,1.1206694104201562e-08,7.50279922042776e-11,1.0174687966661653e-12,3
25,11.892790058640044,3.7493081828859705,8.143481875754073,0.0,1.176702880941164e-08,8.139464337263373e-11,1.1039506571003052e-12,3
26,11.892790058625831,3.749308182439419,8.143481876186412,0.0,1.2355380249882223e-08,8.811613289995946e-11,1.195062807126139e-12,3
27,11.892790058610473,3.7493081819568728,8.1434818766536,0.0,1.2973149262376334e-08,9.521883432840837e-11,1.291402703465185e-12,3
28,11.892790058593903,3.749308181436265,8.143481877157638,0.0,1.3621806725495151e-08,1.0272936627667788e-10,1.3932690744782329e-12,3
29,11.892790058576052,3.7493081808753903,8.143481877700662,0.0,1.430289706176991e-08,1.1067486354598836e-10,1.5009606485260795e-12,3
30,11.892790058556844,3.749308180271906,8.14348187828494,0.0,1.5018041914858405e-08,1.19083199031075e-10,1.6150748823302675e-12,3
31,11.892790058536203,3.7493081796233176,8.143481878912885,0.0,1.5768944010601325e-08,1.2798317877937913e-10,1.7356117758908739e-12,3
32,11.89279005851404,3.7493081789269826,8.143481879587057,0.0,1.6557391211131392e-08,1.3740470295445137e-10,1.8636168784705694e-12,3
33,11.892790058490268,3.7493081781801014,8.143481880310167,0.0,1.7385260771687964e-08,1.473789237900768e-10,1.998791461708715e-12,3
34,11.892790058464794,3.7493081773797075,8.143481881085085,0.0,1.8254523810272363e-08,1.5793836715515126e-10,2.1420317106876385e-12,3
35,11.892790058437516,3.749308176522662,8.143481881914854,0.0,1.9167250000785983e-08,1.6911706623584417e-10,2.2936363537682053e-12,3
36,11.892790058408327,3.7493081756056466,8.14348188280268,0.0,2.0125612500825283e-08,1.8095068900458794e-10,2.4543522118524093e-12,3
37,11.892790058377122,3.749308174625153,8.143481883751969,0.0,2.1131893125866547e-08,1.9347665892642823e-10,2.6238805565796675e-12,3
38,11.892790058343774,3.7493081735774725,8.143481884766302,0.0,2.2188487782159875e-08,2.067342700960101e-10,2.8040137581146095e-12,3
39,11.892790058308169,3.7493081724586887,8.14348188584948,0.0,2.3297912171267868e-08,2.2076480612752508e-10,2.9938556313752105e-12,3
40,11.892790058270167,3.7493081712646656,8.143481887005501,0.0,2.4462807779831262e-08,2.3561167906489027e-10,3.195347910706527e-12,3
41,11.892790058229629,3.749308169991033,8.143481888238597,0.0,2.5685948168822827e-08,2.513205482102095e-10,3.408639960289191e-12,3
42,11.892790058186414,3.7493081686331795,8.143481889553234,0.0,2.697024557726397e-08,2.679394401515855e-10,3.633731780123487e-12,3
