sequence,lag,start,end,e_window,reference_e_window,absolute_gap_window,direct_mass_ratio,path_mass_ratio,path_to_direct_mass_ratio,direct_entropy_fraction,path_entropy_fraction,direct_effective_support,path_effective_support,direct_spread_rms,path_spread_rms,direct_displacement_rms,path_displacement_rms
starwarps,5,2,7,0.28060471732985287,0.9319396341635864,0.6513349168337335,0.8585852320485291,0.7680293328027638,0.8945289345011155,0.9748062856910197,0.9566695867762275,57.67071313759802,53.44759309599341,0.10719114797010701,0.10578279500362713,0.14321750510380798,0.1892734495173317
starwarps,5,3,8,0.30340977217016946,0.9279961818049959,0.6245864096348264,0.7741148481968206,0.8788831349950507,1.1353394616344996,0.9734170197207119,0.960999363517708,57.33442250545257,54.41825726027689,0.10862115434514963,0.10129014283552873,0.15378552074018753,0.20872165930361145
starwarps,5,4,9,0.3693389282163164,0.9163648694094784,0.547025941193162,0.6354985835768627,0.8663662392485334,1.3632858697689725,0.9697340088336969,0.9558202024355331,56.48371474823933,53.25820469813471,0.11101838267487635,0.10041165826046372,0.1605552140433012,0.22455308704250088
starwarps,5,5,10,0.3710631576481435,0.8937086881665559,0.5226455305184123,0.6705812211981304,0.820369897080535,1.2233714144496568,0.9758839011976863,0.9602863492722009,57.923489289405076,54.25628097463855,0.11498334354961667,0.10552628505033848,0.1592815018757125,0.22698761041217913
starwarps,5,6,11,0.2889284825366223,0.8769113827659802,0.587982900229358,0.6002402899500101,0.5423508580619864,0.9035562376313576,0.9700660758328434,0.9544014475464846,56.560535862042016,52.94451593156962,0.1110084147027361,0.09762645553602277,0.16015349633610643,0.21535646287079524
starwarps,5,7,12,0.2918119742026819,0.8701808278147557,0.5783688536120738,0.5935833040194779,0.4229495485192197,0.712536127035913,0.965687281761482,0.954841437894738,55.545332505995134,53.041462659887564,0.10936298081958601,0.0996571387440381,0.1570526478777516,0.20472175915688354
starwarps,5,8,13,0.39636930501609086,0.8693263806611449,0.472957075645054,0.6040797779302063,0.31844965064589936,0.5271648915926667,0.9678490176412211,0.9572758868315718,56.03593991651858,53.581215073991835,0.10952359211559215,0.10109598804260782,0.1545659034289865,0.20302392635683225
starwarps,5,9,14,0.450876617778603,0.8773160685900361,0.4264394508114331,0.6175967662206845,0.28009261772473637,0.45352021423093314,0.968863795402539,0.9576746475648075,56.25611345008044,53.67020054591245,0.10878600740542647,0.10007198717990104,0.15288540119523122,0.20135052197518713
starwarps,6,0,6,0.5263685728271702,0.9639318295019215,0.43756325667475127,1.0337219179429094,0.5136893202838737,0.4969318260234895,0.9805066292302909,0.9796976930090403,59.040597962251645,58.81809352396181,0.11031690412365361,0.12259074293222673,0.1370800174242594,0.21225583044956509
starwarps,6,1,7,0.32970897985774056,0.963581438513088,0.6338724586553475,0.8460590779838773,0.5890688031573649,0.6962502010628983,0.9741701034796378,0.9564952873366984,57.516744589643594,53.407904880268916,0.10559883205957249,0.10547447915408661,0.14218917096499556,0.1894636479090199
starwarps,6,2,8,0.2717625746655483,0.9621359514098209,0.6903733767442726,0.8134115609232482,0.7934961094248363,0.9755161440343838,0.9720280674918605,0.9604527781546957,57.00296310732943,54.29399357239792,0.10666055233357144,0.1008360190505942,0.14872017129401627,0.19719969216268254
starwarps,6,3,9,0.31975499306780286,0.9596222481527654,0.6398672550849626,0.6810916175548296,0.8152066732472808,1.1969119164524948,0.9675200645348377,0.9554106473878852,55.96478132740368,53.16733780461831,0.10853146360543331,0.10035997967474007,0.15410454730404627,0.21339961968563345
starwarps,6,4,10,0.3802006223567551,0.953771684435617,0.5735710620788619,0.637437257830568,0.802689260374078,1.2592443421112893,0.9747607516288029,0.9602503202774643,57.650141510928314,54.24814724868882,0.1136494647577705,0.10560048044921984,0.15961171978559915,0.23189335541870731
starwarps,6,5,11,0.340185390266233,0.9419549829019278,0.6017695926356947,0.5961280577089043,0.6755983017274306,1.1333106922092442,0.9708609844749921,0.9543468576579628,56.74438250732837,52.93247691216932,0.1128686506818545,0.09762380543282918,0.1640785384571022,0.22770461442205694
starwarps,6,6,12,0.2943806925237286,0.9298756077665715,0.6354949152428429,0.5506184352415621,0.4253052196000756,0.7724136940919709,0.9666189555484445,0.9548263960702404,55.76711186479086,53.03814372916691,0.11085841648314278,0.09968276096558709,0.16363488280372687,0.2182093984022141
starwarps,6,7,13,0.3859669855086499,0.9254753767957571,0.5395083912871073,0.6029972806769067,0.3346446107498459,0.5549686896998671,0.9680978759995805,0.9572804026957132,56.09642618657195,53.58221906611663,0.11031771337751484,0.10112320190660458,0.1560453663435982,0.2080184633947811
starwarps,6,8,14,0.4806893771927526,0.9286365926470455,0.44794721545429284,0.6042728288929381,0.25470392708466333,0.4215048483171009,0.9691142078773897,0.9576527392315898,56.316804237599534,53.665263857183426,0.10947790032410422,0.10010271715924786,0.15618411662050655,0.20569554825208605
starwarps,7,0,7,0.38039527028138015,0.9805220424631534,0.6001267721817733,0.8687628633850499,0.5230494540277011,0.6020623993867438,0.9746899603708231,0.9563400041351048,57.63945378235943,53.373169385893654,0.10570877547740924,0.10523104106465854,0.14124090263092037,0.19068315610338316
starwarps,7,1,8,0.2844408705192863,0.979575855794463,0.6951349852751767,0.8038461044995052,0.6088216383433565,0.7573858166824409,0.971736046712657,0.9603427312605005,56.9315649371622,54.26901766388166,0.10543177831193577,0.10073187440728591,0.14751232223573918,0.19115309058160254
starwarps,7,2,9,0.27822290348956696,0.9787755827732446,0.7005526792836776,0.7176927569863427,0.7364357783778964,1.026115661902814,0.9659390997246476,0.9551790936897487,55.597489921684904,53.11603129323519,0.10663579975484257,0.1004229642418427,0.14881782868487453,0.2005633430992572
starwarps,7,3,10,0.337641734498195,0.9777739839290981,0.6401322494309031,0.6816061978120767,0.7553063498950021,1.1081271741945709,0.9733496459711048,0.9602278434071285,57.31135424654835,54.243075310218835,0.11181996331127599,0.10574443209709708,0.15348253934499914,0.2205000773916201
starwarps,7,4,11,0.3551836975158416,0.97510281576028,0.6199191182444383,0.5652004685379114,0.6609682153631425,1.1694403174734938,0.9700528693749957,0.9543298137233559,56.5512153224641,52.92872247750923,0.11238011191706884,0.09761841564777014,0.16506919592889102,0.2340484651174364
starwarps,7,5,12,0.2951643793180409,0.9672723804454393,0.6721080011273983,0.5454133033780185,0.5298181845029443,0.9714067867826365,0.9672958646616351,0.9548272106234622,55.922287185988154,53.0383233465337,0.11233444351473922,0.09966975615835795,0.16811358423190934,0.23004560848663116
starwarps,7,6,13,0.37732389681602907,0.9604669553797444,0.5831430585637153,0.559915327225251,0.3365052727359044,0.6009931437374818,0.9689639096224847,0.9572833796982317,56.304482116659166,53.58288218552872,0.1114658431965018,0.10112653604048849,0.16211030215952027,0.2209354993216189
starwarps,7,7,14,0.4681353167479644,0.959925860709303,0.4917905439613386,0.6034881816668505,0.2676554574600703,0.4435140000932558,0.9693157589139999,0.9576421648660557,56.36527189151484,53.66289708395407,0.11014750307271295,0.10015492023316581,0.15743363742822344,0.2102852489910947
starwarps,8,0,8,0.3190010001161392,0.9890492453429824,0.6700482452268433,0.8271928566517388,0.5408777759223251,0.6538714298279333,0.9722686493471241,0.9603622957075489,57.055740356436054,54.273421099505065,0.10558285190026027,0.10072508440098853,0.14634100341036757,0.18767097784829884
starwarps,8,1,9,0.2764305657744738,0.9885304683512962,0.7120999025768224,0.7106177922521245,0.5650791303246211,0.795194176793329,0.9657453351329932,0.9551100932871196,55.549944957244996,53.100762258013134,0.105330561982528,0.10044063119826577,0.14722286892734934,0.1929367877168856
starwarps,8,2,10,0.3068354180277259,0.9882830340386578,0.681447616010932,0.718453178905227,0.6822769354108547,0.9496470409533195,0.9721567016963574,0.9602262145585218,57.02740867024868,54.24270757311787,0.11027888550037963,0.10583180501310119,0.14832190891626523,0.20689868152868912
starwarps,8,3,11,0.3243152136822718,0.9882132768321713,0.6638980631498995,0.604256518660258,0.6218241669933822,1.0290731631196544,0.9686946216004042,0.9543103730910565,56.23059703209834,52.924442380621606,0.11063330846555275,0.09762581163132694,0.15897243787071774,0.2232971888043327
starwarps,8,4,12,0.3095196249711025,0.9862426777295428,0.6767230527584402,0.5183382369607543,0.5183540836498571,1.0000305721013285,0.9658514655906283,0.9548262594263687,55.58367268926099,53.03811351834409,0.11128402406234492,0.09966324004082917,0.1682163757128631,0.2354368551690716
starwarps,8,5,13,0.3407723816855176,0.9818157844237018,0.6410434027381842,0.5558271525956112,0.4191968597269845,0.7541856452485486,0.9695392658549923,0.9572843241738485,56.43759431805447,53.583092608969935,0.11234740906594674,0.10112697276299172,0.1657957857695029,0.23216390381359828
starwarps,8,6,14,0.4527662369427668,0.9789499321613417,0.526183695218575,0.5593651195236655,0.2691424117436511,0.48115694445310203,0.9698609701432327,0.9576448824025713,56.49613316232615,53.663502159989235,0.11103651625621934,0.10016430575035819,0.16349934062680252,0.2230464972932482
starwarps,9,0,9,0.30080360254769467,0.993838400161536,0.6930347976138413,0.7312563484839205,0.5020173173119141,0.6865134481946352,0.9667579869737272,0.9551125225421445,55.78298362581006,53.10129591444142,0.10547522222643867,0.10044026366020627,0.1460165445648184,0.1881471986585325
starwarps,9,1,10,0.3182540026097417,0.9936638837054239,0.6754098810956822,0.7138647572882332,0.5235099872633819,0.7333461722526348,0.9717348491946237,0.9602260827914383,56.92569800885561,54.24267780730729,0.10881543858291985,0.10584203468585579,0.14628568032973052,0.1978484911945595
starwarps,9,2,11,0.3074356416857206,0.9938690388740314,0.6864333971883109,0.6381376130559195,0.5616320154553465,0.8801111295819058,0.9670106781696154,0.9543001418904162,55.8379872330496,52.922189874185804,0.10857431335667009,0.09763075730394655,0.153243133353084,0.20923543857131682
starwarps,9,3,12,0.30892741569891696,0.9935749154338408,0.6846474997349239,0.5576730454398922,0.4876634555828673,0.8744612270047921,0.9640487980958593,0.9548246139823234,55.16464607177093,53.03775056229129,0.10931052825941676,0.09966556189367187,0.1613271628762881,0.2237499589499561
starwarps,9,4,13,0.3490577841233244,0.9924040992136914,0.6433463150903671,0.531995726709265,0.4101281168197797,0.7709237052648624,0.968033864210124,0.9572842551882911,56.08081851224521,53.58307722964215,0.11075165382357255,0.1011270357515767,0.16456068832784687,0.23566297280541004
